pack_path,original_file
backgrounds/store/store-overview-01.png,现代超市内部一瞥.png
backgrounds/store/store-overview-02.png,宽敞现代的超市内部.png
backgrounds/store/store-overview-03.png,现代超市宽敞整洁内部.png
backgrounds/navigation/aisle-general-01.png,整洁的超市走道.png
backgrounds/navigation/aisle-general-02.png,现代超市整齐走廊.png
backgrounds/navigation/aisle-general-03.png,现代超市货架场景.png
backgrounds/navigation/aisle-cold-corridor-01.png,现代超市冷藏长廊.png
backgrounds/checkout/checkout-overview-01.png,现代超市结账区安静一隅.png
stockroom/stockroom-overview-01.png,仓库饮料堆放区域.png
stockroom/stockroom-overview-02.png,宽敞的仓库存储区.png
restock/drinks/drinks-empty-01.png,超市饮料区空架景象.png
restock/drinks/drinks-mid-01.png,饮料区的整齐货架.png
restock/drinks/drinks-full-01.png,超市饮料区整齐排列.png
restock/dairy/dairy-zone-01.png,现代超市冷藏区一览.png
restock/dairy/dairy-zone-02.png,现代超市冷藏区走道.png
restock/dairy/dairy-zone-03.png,现代超市冷藏货架区.png
restock/dairy/dairy-zone-04.png,现代超市冷藏货架走道.png
restock/dairy/dairy-zone-05.png,现代超市冷藏货架布局.png
restock/frozen/frozen-zone-01.png,整洁现代的超市冷冻区.png
restock/frozen/frozen-zone-02.png,超市冷藏区整洁明亮.png
restock/snacks/snacks-zone-01.png,现代超市零食货架.png
restock/snacks/snacks-zone-02.png,超市货架与零散商品.png
restock/pantry/pantry-zone-01.png,超市货架长廊景象.png
restock/pantry/pantry-zone-02.png,干净有序的超市过道.png
