path,source_generated_file,bytes
public/assets/game/fixtures/produce/produce-display-stocked-b02.png,a_clean_high_detail_3d_cgi_style_render_of_a_sup_1_batch_1.png,2084802
public/assets/game/fixtures/shelves/double-sided-grocery-shelf-stocked-b02.png,a_clean_photorealistic_cgi_style_supermarket_gond_2_batch_2.png,1972347
public/assets/game/fixtures/checkout/checkout-counter-b02.png,a_clean_isolated_3d_cg_style_scene_on_a_transparen_3_batch_3.png,1311937
public/assets/game/props/cases/cola-case-b02.png,3d_rendered_product_packaging_scene_on_a_transpare_4_batch_4.png,1716716
public/assets/game/props/baskets/shopping-basket-full-b02.png,a_photorealistic_3d_render_style_image_of_a_red_5_batch_5.png,1592865
public/assets/game/equipment/carts/restock-cart-loaded-b02.png,a_detailed_3d_style_render_photorealistic_illust_6_batch_6.png,1703679
public/assets/game/ui/results/success-check-b02.png,a_clean_isolated_graphic_icon_scene_a_large_glos_7_batch_7.png,1069713
public/assets/game/ui/results/error-cross-b02.png,a_clean_digital_graphic_on_a_transparent_checkerb_8_batch_8.png,1146614
public/assets/game/ui/rewards/coin-burst-b02.png,a_bright_cartoonish_2d_game_art_style_explosion_o_9_batch_9.png,1170875
public/assets/game/fixtures/coolers/beverage-cooler-a/row-juice-b02.png,a_clean_high_detail_product_render_scene_of_a_ref_10_batch_10.png,1385816
